ioc_type,ioc_value,confidence,source
IP,185.246.128.219,95,Open-Source Intelligence
URL,http://bad716.example/path,94,Open-Source Intelligence
URL,http://bad343.example/path,93,Open-Source Intelligence
HASH,d241a358999d69f9853ff364c8727cdc,93,Open-Source Intelligence
URL,http://bad138.example/path,88,Open-Source Intelligence
DOMAIN,malicious325.com,87,Open-Source Intelligence
HASH,4759ccad328421a277250a0c2929ab8e,86,Open-Source Intelligence
URL,http://bad558.example/path,86,Open-Source Intelligence
URL,http://bad948.example/path,85,Open-Source Intelligence
DOMAIN,malicious581.com,84,Open-Source Intelligence
