vuln_id,cve,severity,risk_score,affected_host
VULN-1000,CVE-2024-4346,HIGH,8.5,192.168.1.120
VULN-1001,CVE-2024-9437,MEDIUM,6.0,192.168.1.110
VULN-1002,CVE-2024-2492,MEDIUM,2.0,192.168.1.247
VULN-1003,CVE-2024-4516,CRITICAL,6.2,192.168.1.26
VULN-1004,CVE-2024-6636,LOW,3.4,192.168.1.7
VULN-1005,CVE-2024-1643,CRITICAL,2.3,192.168.1.175
VULN-1006,CVE-2024-5327,HIGH,5.4,192.168.1.157
VULN-1007,CVE-2024-8879,CRITICAL,3.5,192.168.1.155
VULN-1008,CVE-2024-3517,MEDIUM,3.5,192.168.1.133
VULN-1009,CVE-2024-7978,HIGH,5.2,192.168.1.171
VULN-1010,CVE-2024-5435,LOW,2.4,192.168.1.17
VULN-1011,CVE-2024-3627,LOW,3.8,192.168.1.14
VULN-1012,CVE-2024-3961,HIGH,2.6,192.168.1.220
VULN-1013,CVE-2024-7218,MEDIUM,6.5,192.168.1.149
VULN-1014,CVE-2024-3626,CRITICAL,9.1,192.168.1.225
VULN-1015,CVE-2024-5820,MEDIUM,6.6,192.168.1.41
VULN-1016,CVE-2024-2882,HIGH,7.3,192.168.1.35
VULN-1017,CVE-2024-4425,HIGH,5.4,192.168.1.14
VULN-1018,CVE-2024-1056,HIGH,7.9,192.168.1.151
VULN-1019,CVE-2024-7683,MEDIUM,5.5,192.168.1.185
VULN-1020,CVE-2024-9408,HIGH,8.4,192.168.1.142
VULN-1021,CVE-2024-9620,HIGH,1.6,192.168.1.143
VULN-1022,CVE-2024-7460,LOW,5.9,192.168.1.143
VULN-1023,CVE-2024-3191,LOW,8.0,192.168.1.58
VULN-1024,CVE-2024-9680,HIGH,2.1,192.168.1.124
VULN-1025,CVE-2024-7926,HIGH,2.9,192.168.1.221
VULN-1026,CVE-2024-1344,CRITICAL,2.3,192.168.1.191
VULN-1027,CVE-2024-7719,MEDIUM,7.7,192.168.1.129
VULN-1028,CVE-2024-2338,MEDIUM,7.8,192.168.1.32
VULN-1029,CVE-2024-3287,MEDIUM,5.8,192.168.1.58
VULN-1030,CVE-2024-2418,MEDIUM,6.8,192.168.1.238
VULN-1031,CVE-2024-2640,CRITICAL,8.9,192.168.1.22
VULN-1032,CVE-2024-1839,CRITICAL,4.6,192.168.1.243
VULN-1033,CVE-2024-8435,MEDIUM,1.5,192.168.1.203
VULN-1034,CVE-2024-8127,HIGH,2.6,192.168.1.40
VULN-1035,CVE-2024-6079,HIGH,6.1,192.168.1.66
VULN-1036,CVE-2024-8725,MEDIUM,1.9,192.168.1.194
VULN-1037,CVE-2024-3368,LOW,5.0,192.168.1.140
VULN-1038,CVE-2024-6196,CRITICAL,8.4,192.168.1.227
VULN-1039,CVE-2024-5729,LOW,9.7,192.168.1.93
VULN-1040,CVE-2024-6973,LOW,10.0,192.168.1.168
VULN-1041,CVE-2024-8024,HIGH,9.3,192.168.1.91
VULN-1042,CVE-2024-7742,HIGH,9.6,192.168.1.99
VULN-1043,CVE-2024-9963,HIGH,8.6,192.168.1.132
VULN-1044,CVE-2024-6185,MEDIUM,8.4,192.168.1.61
VULN-1045,CVE-2024-8338,MEDIUM,9.2,192.168.1.38
VULN-1046,CVE-2024-3183,CRITICAL,1.6,192.168.1.47
VULN-1047,CVE-2024-8611,CRITICAL,8.6,192.168.1.67
VULN-1048,CVE-2024-6011,MEDIUM,3.1,192.168.1.192
VULN-1049,CVE-2024-4409,HIGH,9.2,192.168.1.127
